"id","title","author","link","journal_info","doi"
"15","New data on the rare Chengjiang (Lower Cambrian, South China) linguloid brachiopod Xianshanella haikouensis ","Zhifei Zhang, Degan Shu, Jian Han, Jianni Liu","https://www.cambridge.org/core/journals/journal-of-paleontology/article/abs/new-data-on-the-rare-chengjiang-lower-cambrian-south-china-linguloid-brachiopod-xianshanella-haikouensis/6DCA17FCB483B0598AFAC6E92D558529","Journal of Paleontology, Volume 80, Issue 2","https://doi.org/10.1666/0022-3360(2006)080[0203:NDOTRC]2.0.CO;2"
"16","Early Cambrian (Stage 4) brachiopods from the Shipai Formation in the Three Gorges area of South China","Xiaolin Duan, Marissa J. Betts, Lars E. Holmer, Yanlong Chen, Fan Liu, Yue Liang, Zhifei Zhang, [Opens in a new window]","https://www.cambridge.org/core/journals/journal-of-paleontology/article/early-cambrian-stage-4-brachiopods-from-the-shipai-formation-in-the-three-gorges-area-of-south-china/1D5BB566B74AF77E7EBBCED92CDAA050","Journal of Paleontology, Volume 95, Issue 3","https://doi.org/10.1017/jpa.2020.117"
"17","Cambrian and Ordovician linguliform brachiopods from the Shallow Bay Formation (Cow Head Group), western Newfoundland","Sean P. Robson, Brian R. Pratt","https://www.cambridge.org/core/journals/journal-of-paleontology/article/abs/cambrian-and-ordovician-linguliform-brachiopods-from-the-shallow-bay-formation-cow-head-group-western-newfoundland/0BEC2A368635298B0141CA59904F05BA","Journal of Paleontology, Volume 75, Issue 2","https://doi.org/10.1017/S0022336000018060"
"18","Middle Cambrian articulate brachiopods from the Southern New England Fold Belt, Northeastern N.S.W., Australia","Glenn A. Brock","https://www.cambridge.org/core/journals/journal-of-paleontology/article/abs/middle-cambrian-articulate-brachiopods-from-the-southern-new-england-fold-belt-northeastern-nsw-australia/1B5305E73685B340DBFAED598DC8CE0D","Journal of Paleontology, Volume 72, Issue 4","https://doi.org/10.1017/S0022336000040336"
"19","Linguliformean brachiopods of the Middle–Upper Cambrian transition from the Val d'Homs Formation, southern Montagne Noire, France","Cristina González-Gómez","https://www.cambridge.org/core/journals/journal-of-paleontology/article/abs/linguliformean-brachiopods-of-the-middleupper-cambrian-transition-from-the-val-dhoms-formation-southern-montagne-noire-france/0AB3F3297060D95ABB3764A8695FA8AE","Journal of Paleontology, Volume 79, Issue 1","https://doi.org/10.1666/0022-3360(2005)079<0029:LBOTMC>2.0.CO;2"
"20","First report of a larval shell repair scar on a lingulate brachiopod: evidence of durophagous predation in the Cambrian pelagic realm?","Rebecca L. Freeman, James F. Miller","https://www.cambridge.org/core/journals/journal-of-paleontology/article/abs/first-report-of-a-larval-shell-repair-scar-on-a-lingulate-brachiopod-evidence-of-durophagous-predation-in-the-cambrian-pelagic-realm/3EB8157A75E91EC5EDD66AE73DF58F69","Journal of Paleontology, Volume 85, Issue 4","https://doi.org/10.1666/10-160.1"
"21","Cambrian–Ordovician boundary interval extinctions: implications of revised trilobite and brachiopod data from Mount Wilson, Alberta, Canada","James D. Loch, James H. Stitt, James R. Derby","https://www.cambridge.org/core/journals/journal-of-paleontology/article/abs/cambrianordovician-boundary-interval-extinctions-implications-of-revised-trilobite-and-brachiopod-data-from-mount-wilson-alberta-canada/3A584DD523CFAC5079E8736D08B99667","Journal of Paleontology, Volume 67, Issue 4","https://doi.org/10.1017/S0022336000024859"
"22","New Upper Cambrian–Tremadoc rhynchonelliformean brachiopods from northwestern Argentina: Evolutionary trends and early diversification of plectorthoideans in the Andean Gondwana","Juan L. Benedetto","https://www.cambridge.org/core/journals/journal-of-paleontology/article/abs/new-upper-cambriantremadoc-rhynchonelliformean-brachiopods-from-northwestern-argentina-evolutionary-trends-and-early-diversification-of-plectorthoideans-in-the-andean-gondwana/540D9D1812544F2FE4FA7945C9A062DA","Journal of Paleontology, Volume 81, Issue 2","https://doi.org/10.1666/0022-3360(2007)81[261:NUCRBF]2.0.CO;2"
"23","Brachiopods from the Latham Shale Lagerstätte (Cambrian Series 2, Stage 4) and Cadiz Formation (Miaolingian, Wuliuan), California","Yue Liang, [Opens in a new window], Lars E. Holmer, [Opens in a new window], Xiaolin Duan, Zhifei Zhang, [Opens in a new window]","https://www.cambridge.org/core/journals/journal-of-paleontology/article/brachiopods-from-the-latham-shale-lagerstatte-cambrian-series-2-stage-4-and-cadiz-formation-miaolingian-wuliuan-california/A4BDD2ACACB37036AFA9970980B3C031","Journal of Paleontology, First View","https://doi.org/10.1017/jpa.2021.80"
"24","First report of acrotretoid brachiopod shell beds in the lower Cambrian (Stage 4) Guanshan Biota of eastern Yunnan, South China","Xiaolin Duan, Yue Liang, Lars E. Holmer, Zhifei Zhang, [Opens in a new window]","https://www.cambridge.org/core/journals/journal-of-paleontology/article/abs/first-report-of-acrotretoid-brachiopod-shell-beds-in-the-lower-cambrian-stage-4-guanshan-biota-of-eastern-yunnan-south-china/E1246A433A3F8281DBC5E6279E602595","Journal of Paleontology, Volume 95, Issue 1","https://doi.org/10.1017/jpa.2020.66"
"25","Linguliform brachiopods across a Cambrian–Ordovician (Furongian, Early Ordovician) biomere boundary: the Sunwaptan–Skullrockian North American Stage boundary in the Wilberns and Tanyard formations of central Texas","Rebecca L. Freeman, [Opens in a new window], James F. Miller, Benjamin F. Dattilo","https://www.cambridge.org/core/journals/journal-of-paleontology/article/abs/linguliform-brachiopods-across-a-cambrianordovician-furongian-early-ordovician-biomere-boundary-the-sunwaptanskullrockian-north-american-stage-boundary-in-the-wilberns-and-tanyard-formations-of-central-texas/96CBE8B11473EC14ADC366810179B12F","Journal of Paleontology, Volume 92, Issue 5","https://doi.org/10.1017/jpa.2018.8"
"26","The classification of athyridid brachiopods","Fernando Alvarez, Rong Jia-Yu, A. J. Boucot","https://www.cambridge.org/core/journals/journal-of-paleontology/article/abs/classification-of-athyridid-brachiopods/76043BFA4ADEFDF5C610EB0AA49045CA","Journal of Paleontology, Volume 72, Issue 5","https://doi.org/10.1017/S0022336000027189"
"27","The brachiopod family Gemmellaroiidae","Richard E. Grant","https://www.cambridge.org/core/journals/journal-of-paleontology/article/abs/brachiopod-family-gemmellaroiidae/D2E287A66552FA48E4605D26AA5C23F8","Journal of Paleontology, Volume 67, Issue 1","https://doi.org/10.1017/S0022336000021168"
"28","Brachiopod Bibliographic Database","","https://www.cambridge.org/core/journals/journal-of-paleontology/article/abs/brachiopod-bibliographic-database/DCF7BCFD7221C348E7F0268E10AD06DF","Journal of Paleontology, Volume 64, Issue 5","https://doi.org/10.1017/S0022336000019107"
"29","The Institute for Cambrian Studies: serving the community of Cambrian scholars","","https://www.cambridge.org/core/journals/journal-of-paleontology/article/abs/institute-for-cambrian-studies-serving-the-community-of-cambrian-scholars/F761DE5537E5A72BF66C043917E5D810","Journal of Paleontology, Volume 66, Issue 5","https://doi.org/10.1017/S0022336000020862"
"30","The spondylium and related structures in the clitambonitidine brachiopods","Olev Vinn, Madis Rubel","https://www.cambridge.org/core/journals/journal-of-paleontology/article/abs/spondylium-and-related-structures-in-the-clitambonitidine-brachiopods/0B58B9C3E86A51808606D41EE1FE003E","Journal of Paleontology, Volume 74, Issue 3","https://doi.org/10.1017/S002233600003170X"
"31","An Early Cambrian radula","Nicholas J. Butterfield","https://www.cambridge.org/core/journals/journal-of-paleontology/article/abs/an-early-cambrian-radula/8C94C7383991B58D23628C13C9552138","Journal of Paleontology, Volume 82, Issue 3","https://doi.org/10.1666/07-066.1"
"32","The orientation of strophomenid brachiopods on soft substrates","Roy E. Plotnick, Benjamin F. Dattilo, Daniel Piquard, Jennifer Bauer, Joshua Corrie","https://www.cambridge.org/core/journals/journal-of-paleontology/article/abs/orientation-of-strophomenid-brachiopods-on-soft-substrates/CC4D8A9B77CBD521738C87D6D7AEBFB0","Journal of Paleontology, Volume 87, Issue 5","https://doi.org/10.1666/12-152"
"33","Permian Brachiopods from Southern Thailand","Richard E. Grant","https://www.cambridge.org/core/journals/journal-of-paleontology/article/abs/permian-brachiopods-from-southern-thailand/BF04D717F2AEEF79213C7DF9D9D78FDC","Journal of Paleontology, Volume 50, Issue S9: The Paleontological Society Memoir 9: Permian Brachiopods from Southern Thailand","https://doi.org/10.1017/S0022336000061795"
"34","A Silurian sponge-inarticulate brachiopod life? association","Alfred C. Lenz","https://www.cambridge.org/core/journals/journal-of-paleontology/article/abs/silurian-spongeinarticulate-brachiopod-life-association/A947E05FF0071B10EC274689E1DDCCD1","Journal of Paleontology, Volume 67, Issue 1","https://doi.org/10.1017/S0022336000021259"
"35","Cambrian Radiolaria from Utah","Russell D. White","https://www.cambridge.org/core/journals/journal-of-paleontology/article/abs/cambrian-radiolaria-from-utah/F210A70E9FE4CDBCA74741A5B0DDAE30","Journal of Paleontology, Volume 60, Issue 3","https://doi.org/10.1017/S0022336000022307"
"36","Devonian brachiopods from northern Chile","A. J. Boucot, Heinrich Bahlburg, Christoph Breitkreuz, Peter E. Isaacson, Hans Niemeyer, Felipe Urzua","https://www.cambridge.org/core/journals/journal-of-paleontology/article/abs/devonian-brachiopods-from-northern-chile/5F5108F0462D1548D6FAE00B7C07EB2D","Journal of Paleontology, Volume 69, Issue 2","https://doi.org/10.1017/S0022336000034594"
"37","Articulate brachiopods from the Richmondian of Tennessee","Herbert J. Howe","https://www.cambridge.org/core/journals/journal-of-paleontology/article/abs/articulate-brachiopods-from-the-richmondian-of-tennessee/E384340BE722802808F11D44E2C309E2","Journal of Paleontology, Volume 62, Issue 2","https://doi.org/10.1017/S002233600002984X"
"38","Internal structure of Cambrian Conodonts","K. J. Müller, I. Hinz-Schallreuter","https://www.cambridge.org/core/journals/journal-of-paleontology/article/abs/internal-structure-of-cambrian-conodonts/AF8E2BFA2D66A63814C94E4A5D3BE622","Journal of Paleontology, Volume 72, Issue 1","https://doi.org/10.1017/S0022336000024045"
"39","The internal features of some Paleozoic rhynchonellid brachiopods","Norman M. Savage, Eric H. Goodwin","https://www.cambridge.org/core/journals/journal-of-paleontology/article/abs/internal-features-of-some-paleozoic-rhynchonellid-brachiopods/9B6222A27F6770B8E5077931F3D08A04","Journal of Paleontology, Volume 72, Issue 3","https://doi.org/10.1017/S0022336000024173"
"40","Gondolininae, a new Carboniferous productide brachiopod subfamily","Jin Yugan, C. H. C. Brunton, S. S. Lazarev","https://www.cambridge.org/core/journals/journal-of-paleontology/article/abs/gondolininae-a-new-carboniferous-productide-brachiopod-subfamily/4A434340E9149105C0EFC97FD4F8B941","Journal of Paleontology, Volume 72, Issue 1","https://doi.org/10.1017/S0022336000023970"
"41","Marginovatia, a mid-Carboniferous genus of linoproductid brachiopods","Mackenzie Gordon Jr., Thomas W. Henry","https://www.cambridge.org/core/journals/journal-of-paleontology/article/abs/marginovatia-a-midcarboniferous-genus-of-linoproductid-brachiopods/52DD126C9A222A78B32AD871120B7D2D","Journal of Paleontology, Volume 64, Issue 4","https://doi.org/10.1017/S0022336000042566"
"42","Permian Brachiopods from Khios Island, Greece","Richard E. Grant","https://www.cambridge.org/core/journals/journal-of-paleontology/article/abs/permian-brachiopods-from-khios-island-greece/0C7B330AB40BC8FC19C54E6AE93F9D9E","Journal of Paleontology, Volume 67, Issue S33: The Paleontological Society Memoir 33: Permian Brachiopods from Khios Island, Greece","https://doi.org/10.1017/S0022336000062193"
"43","Molecular phylogeny of rhynchonellide articulate brachiopods (Brachiopoda, Rhynchonellida)","Bernard L. Cohen, Maria Aleksandra Bitner","https://www.cambridge.org/core/journals/journal-of-paleontology/article/abs/molecular-phylogeny-of-rhynchonellide-articulate-brachiopods-brachiopoda-rhynchonellida/E8CAA4FF0B24DE2F1B3D92AC68A18889","Journal of Paleontology, Volume 87, Issue 2","https://doi.org/10.1666/12-100R.1"
"44","Biogeographic significance of Ordovician brachiopods from Thailand and Malaysia","John R. Laurie, Clive Burrett","https://www.cambridge.org/core/journals/journal-of-paleontology/article/abs/biogeographic-significance-of-ordovician-brachiopods-from-thailand-and-malaysia/EC08EA4957EAD49DEBBC08509B47A198","Journal of Paleontology, Volume 66, Issue 1","https://doi.org/10.1017/S0022336000033448"
"45","Early Cretaceous brachiopods from Mexico and their paleobiogeographic significance","Michael R. Sandy","https://www.cambridge.org/core/journals/journal-of-paleontology/article/abs/early-cretaceous-brachiopods-from-mexico-and-their-paleobiogeographic-significance/F3C64C6CF5AB98767F161E6C8DF814B4","Journal of Paleontology, Volume 64, Issue 6","https://doi.org/10.1017/S0022336000020011"
"46","The type species of Lingulella (Cambrian Brachiopoda)","Mark D. Sutton, Michael G. Bassett, Lesley Cherns","https://www.cambridge.org/core/journals/journal-of-paleontology/article/abs/type-species-of-lingulella-cambrian-brachiopoda/429C02514EBBBFDE29EC089A9650D723","Journal of Paleontology, Volume 74, Issue 3","https://doi.org/10.1017/S0022336000031693"
"47","Ghosts of the past, present, and future in brachiopod systematics","Sandra J. Carlson","https://www.cambridge.org/core/journals/journal-of-paleontology/article/abs/ghosts-of-the-past-present-and-future-in-brachiopod-systematics/69BC3242AECAC556B4B4A3C2EA9D9F9C","Journal of Paleontology, Volume 75, Issue 6","https://doi.org/10.1017/S0022336000017169"
"48","Cambrian microfossils from the Tethyan Himalaya","Ian R. Gilbert, Nigel C. Hughes, Paul M. Myrow","https://www.cambridge.org/core/journals/journal-of-paleontology/article/abs/cambrian-microfossils-from-the-tethyan-himalaya/AEF5E74828C43B49D8DFDDCCFEAAC8C0","Journal of Paleontology, Volume 90, Issue 1","https://doi.org/10.1017/jpa.2015.74"
"49","Reinterpretation of the Cambrian ‘bryozoan’ Pywackia as an octocoral","Paul D. Taylor, Björn Berning, Mark A. Wilson","https://www.cambridge.org/core/journals/journal-of-paleontology/article/abs/reinterpretation-of-the-cambrian-bryozoan-pywackia-as-an-octocoral/F19181646FF92CA3C64471654398B89A","Journal of Paleontology, Volume 87, Issue 6","https://doi.org/10.1666/13-029"
"50","Cambrian corynexochid trilobites from Morocco","Gerd Geyer","https://www.cambridge.org/core/journals/journal-of-paleontology/article/abs/cambrian-corynexochid-trilobites-from-morocco/A361EA1813659CA89AB5964E3378B92B","Journal of Paleontology, Volume 68, Issue 6","https://doi.org/10.1017/S0022336000034296"
"51","New genus of Late Cambrian gastropod","Gerald O. Gunderson","https://www.cambridge.org/core/journals/journal-of-paleontology/article/abs/new-genus-of-late-cambrian-gastropod/067DC5501F73B062B503D89436BED14A","Journal of Paleontology, Volume 67, Issue 6","https://doi.org/10.1017/S0022336000025440"
"52","Caradoc brachiopods from the Armorican massif (northwestern France)","A. Botquelen, M. Mélou","https://www.cambridge.org/core/journals/journal-of-paleontology/article/abs/caradoc-brachiopods-from-the-armorican-massif-northwestern-france/FB0876757347189411A3E6BC96360260","Journal of Paleontology, Volume 81, Issue 5","https://doi.org/10.1666/pleo05-133.1"
"53"," Patriaspirifer, a new genus of lower Devonian spiriferid brachiopods","J. G. Johnson","https://www.cambridge.org/core/journals/journal-of-paleontology/article/abs/patriaspirifer-a-new-genus-of-lower-devonian-spiriferid-brachiopods/4D065C9081987888B2CA7D547D74E02D","Journal of Paleontology, Volume 69, Issue 1","https://doi.org/10.1017/S0022336000027062"
"54","Talentella, a new Siluro-Devonian genus of enteletacean brachiopods","J. G. Johnson","https://www.cambridge.org/core/journals/journal-of-paleontology/article/abs/talentella-a-new-silurodevonian-genus-of-enteletacean-brachiopods/EA9B882A8BC199E3CDB09B39B12D0737","Journal of Paleontology, Volume 64, Issue 3","https://doi.org/10.1017/S0022336000018837"
"55","Brachiopods from the extreme South Pacific and adjacent waters","Merrill W. Foster","https://www.cambridge.org/core/journals/journal-of-paleontology/article/abs/brachiopods-from-the-extreme-south-pacific-and-adjacent-waters/9BB8C7D8A811AAA51625E81BD9D333A3","Journal of Paleontology, Volume 63, Issue 3","https://doi.org/10.1017/S0022336000019442"
"56","Two new species of the Cambrian genus Mickwitzia ","Mark A. S. McMenamin","https://www.cambridge.org/core/journals/journal-of-paleontology/article/abs/two-new-species-of-the-cambrian-genus-mickwitzia/6C2DF6D1C59AE3A172CDAF3DB1991BAC","Journal of Paleontology, Volume 66, Issue 2","https://doi.org/10.1017/S0022336000033680"
"57","Phylogenetic analysis of some basal early Cambrian trilobites, the biogeographic origins of the Eutrilobita, and the timing of the Cambrian radiation","Bruce S. Lieberman","https://www.cambridge.org/core/journals/journal-of-paleontology/article/abs/phylogenetic-analysis-of-some-basal-early-cambrian-trilobites-the-biogeographic-origins-of-the-eutrilobita-and-the-timing-of-the-cambrian-radiation/C4CC1495F0A1C57A7AC950D13470FA7D","Journal of Paleontology, Volume 76, Issue 4","https://doi.org/10.1017/S0022336000041950"
"58","A revision of Palaeacmaea (Upper Cambrian) (?Cnidaria)","Gerald F. Webers, Ellis L. Yochelson","https://www.cambridge.org/core/journals/journal-of-paleontology/article/abs/revision-of-palaeacmaea-upper-cambrian-cnidaria/67D880D451BBCEAA8A4E9318D7C9917B","Journal of Paleontology, Volume 73, Issue 4","https://doi.org/10.1017/S002233600003242X"
"59","Comparative paleoecology of Cambrian trilobite extinctions","Stephen R. Westrop, Michael B. Cuggy","https://www.cambridge.org/core/journals/journal-of-paleontology/article/abs/comparative-paleoecology-of-cambrian-trilobite-extinctions/72BA697AA595772DD1941C400A1EB199","Journal of Paleontology, Volume 73, Issue 2: Papers from the Second International Trilobite Conference, August 1997","https://doi.org/10.1017/S0022336000027815"
"60","Cambrian predators: possible evidence from boreholes","Simon Conway Morris, Stefan Bengtson","https://www.cambridge.org/core/journals/journal-of-paleontology/article/abs/cambrian-predators-possible-evidence-from-boreholes/03C86F06BE96312524FE27365A502FAC","Journal of Paleontology, Volume 68, Issue 1","https://doi.org/10.1017/S0022336000025567"
"61","Color pattern on a martiniid brachiopod from South China","Y. L. Sun, A. J. Boucot, R. B. Blodgett, W. Z. Ran","https://www.cambridge.org/core/journals/journal-of-paleontology/article/abs/color-pattern-on-a-martiniid-brachiopod-from-south-china/274A563D616903FDF53170922AC5ACFD","Journal of Paleontology, Volume 73, Issue 5","https://doi.org/10.1017/S0022336000040804"
"62","Evolution and classification of the Productellidae (Productida), upper Paleozoic brachiopods","C. H. C. Brunton, S. S. Lazarev","https://www.cambridge.org/core/journals/journal-of-paleontology/article/abs/evolution-and-classification-of-the-productellidae-productida-upper-paleozoic-brachiopods/C115EBB9A20D1DD39AC99166877700CC","Journal of Paleontology, Volume 71, Issue 3","https://doi.org/10.1017/S0022336000039408"
"63","Revision of the type species of Acrotreta and related lingulate brachiopods","Lars E. Holmer, Leonid E. Popov","https://www.cambridge.org/core/journals/journal-of-paleontology/article/abs/revision-of-the-type-species-of-acrotreta-and-related-lingulate-brachiopods/14191C2B67CFE5735895E75BEA5E3ED0","Journal of Paleontology, Volume 68, Issue 3","https://doi.org/10.1017/S002233600002583X"
"64","Type specimens of the brachiopod Dalmanella? winchelli Cooper, 1956","William F. Rice","https://www.cambridge.org/core/journals/journal-of-paleontology/article/abs/type-specimens-of-the-brachiopod-dalmanella-winchelli-cooper-1956/1315B0804552160766E78B55AA50BFA4","Journal of Paleontology, Volume 63, Issue 1","https://doi.org/10.1017/S0022336000041044"
"65","New occurrences of color patterns in Devonian articulate brachiopods","Robert B. Blodgett, A. J. Boucot, William F. Koch II","https://www.cambridge.org/core/journals/journal-of-paleontology/article/abs/new-occurrences-of-color-patterns-in-devonian-articulate-brachiopods/34D63D559F1E2A1BF223454CA0D3EF07","Journal of Paleontology, Volume 62, Issue 1","https://doi.org/10.1017/S0022336000017984"
"66","Morphological analysis of phylogenetic relationships among extant rhynchonellide brachiopods","Holly A. Schreiber, Maria Aleksandra Bitner, Sandra J. Carlson","https://www.cambridge.org/core/journals/journal-of-paleontology/article/abs/morphological-analysis-of-phylogenetic-relationships-among-extant-rhynchonellide-brachiopods/2E2593734223D01B04EB3F18A1A3F43F","Journal of Paleontology, Volume 87, Issue 4","https://doi.org/10.1666/12-115"
"67","Epibiont communities: Recruitment and competition on North American Carboniferous brachiopods","Halard L. Lescinsky","https://www.cambridge.org/core/journals/journal-of-paleontology/article/abs/epibiont-communities-recruitment-and-competition-on-north-american-carboniferous-brachiopods/F9FACCF28DFC77CDEC04C770ADC754BF","Journal of Paleontology, Volume 71, Issue 1","https://doi.org/10.1017/S0022336000038932"
"68","Middle Cambrian arthropods from Utah","Derek E. G. Briggs, Bruce S. Lieberman, Jonathan R. Hendricks, Susan L. Halgedahl, Richard D. Jarrard","https://www.cambridge.org/core/journals/journal-of-paleontology/article/abs/middle-cambrian-arthropods-from-utah/B78C8E548B4E0BF042A1AAE08FD4725B","Journal of Paleontology, Volume 82, Issue 2","https://doi.org/10.1666/06-086.1"
"69","Observations on the Early Cambrian helicoplacoid echinoderms","J. W. Durham","https://www.cambridge.org/core/journals/journal-of-paleontology/article/abs/observations-on-the-early-cambrian-helicoplacoid-echinoderms/B75598BD1AC7A34DD9FA15578E094BBE","Journal of Paleontology, Volume 67, Issue 4","https://doi.org/10.1017/S0022336000024938"
"70","Ichnostratigraphy of the Ediacaran-Cambrian boundary: new insights on lower Cambrian biozonations from the Soltanieh Formation of northern Iran","Setareh Shahkarami, M. Gabriela Mángano, Luis A. Buatois","https://www.cambridge.org/core/journals/journal-of-paleontology/article/ichnostratigraphy-of-the-ediacarancambrian-boundary-new-insights-on-lower-cambrian-biozonations-from-the-soltanieh-formation-of-northern-iran/C650BA31028F3A8187E8852E791EF88F","Journal of Paleontology, Volume 91, Issue 6","https://doi.org/10.1017/jpa.2017.72"
